@relation D2a-weka.filters.unsupervised.attribute.Standardize

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute y {0.0,1.0}

@data
-1.51168,-0.343269,-1.204386,1.177221,0.572471,-0.279057,1.0
0.129698,0.153802,0.288427,-0.264406,1.280107,-1.240128,0.0
-0.846428,0.391406,-0.588834,0.577556,-1.352134,0.921653,1.0
-0.804171,-1.940658,-0.845838,-1.199714,0.202051,1.405583,1.0
0.726776,0.515535,0.829647,1.411533,-1.349574,-0.192585,1.0
1.099794,0.609997,-0.709382,-0.691721,-0.209085,1.446039,1.0
-1.167243,-0.130334,0.33653,-1.747194,1.821427,-0.424193,0.0
-0.838813,-0.645669,-0.431244,0.784765,-1.370909,0.425099,1.0
-0.235803,0.650345,-0.36873,-1.507198,1.793453,-0.10094,0.0
1.559862,1.811687,0.902456,0.288619,-0.33907,-0.639836,0.0
-1.1385,0.353942,-0.119871,1.940566,-1.518612,0.185585,1.0
0.539433,0.551654,-1.038837,-0.622201,0.552976,0.616423,1.0
1.183727,0.425136,-1.409534,-1.928627,0.313192,-1.268375,0.0
0.465623,1.279871,-0.114182,-0.029405,0.324801,-1.570352,0.0
0.504174,-1.113437,-0.440442,-0.143861,-0.83828,1.41836,1.0
2.626669,-1.170642,0.866113,-1.185391,-0.37264,-0.791458,0.0
0.397385,0.758852,0.076736,-0.673691,-0.051564,1.223827,1.0
-1.772767,-1.071152,-1.337886,0.355473,-1.517407,0.741158,1.0
-0.481557,-0.046897,1.298202,1.284312,0.683366,-1.620856,0.0
-0.148581,-0.127439,0.272546,0.758911,-1.397764,-0.371027,1.0
0.114932,0.400998,-2.184159,1.644511,-0.282855,1.553295,1.0
1.360871,-0.757345,-1.113884,0.640202,0.32286,1.070699,1.0
-0.567587,1.062219,-0.169173,-0.220075,1.876191,-0.116796,0.0
-0.816984,0.939419,-0.403256,-0.54814,0.336398,1.01152,1.0
0.655518,-0.254956,-0.810266,1.019796,-0.319784,-0.057302,0.0
0.662334,0.144642,0.551438,-1.529995,1.640811,-0.829862,0.0
0.884858,0.746522,0.911611,-1.403862,-1.224368,0.833655,1.0
-0.470048,0.481431,-0.245849,-0.555708,0.699747,-1.32405,0.0
1.612823,0.296781,-0.636009,1.663102,1.301808,-1.212166,0.0
-0.066828,-0.268767,1.750241,1.424111,-0.397194,-0.318999,0.0
-0.317486,0.784462,0.883282,-0.60195,-0.434321,1.687421,1.0
-0.808406,0.015032,-0.518517,-0.308548,0.698794,-1.701752,0.0
0.18874,1.243958,0.830807,-0.00104,-0.480743,0.328473,0.0
0.597371,0.024308,-1.400782,-0.428396,-1.288117,0.554933,1.0
-0.565435,-2.044607,-1.059573,0.232225,-0.994852,1.40287,1.0
0.261176,-1.165684,-0.416334,-0.230006,1.685774,-0.613691,0.0
-0.344168,-1.662709,0.381677,-1.007929,-0.485931,-0.064478,0.0
-1.138567,-0.453027,0.376654,-0.937721,-1.308968,0.185029,1.0
0.942975,0.087243,0.203694,-1.4488,-0.509991,1.53646,1.0
-1.40721,-0.100754,-0.002644,-0.273814,-0.100291,-1.251455,0.0
-1.319375,-0.59264,0.255358,0.632285,-0.459685,-0.46059,0.0
0.066643,0.829891,0.635514,-0.378612,-0.378041,1.675279,1.0
-0.295781,0.223289,-1.415641,1.226334,-0.274493,0.156935,0.0
0.368394,-1.701251,-1.391978,-1.333747,-0.427959,1.411638,1.0
-0.086627,1.067177,-1.5979,-0.044908,0.014608,-1.000245,0.0
0.351137,0.008871,-1.282466,0.665428,1.515003,-1.220248,0.0
-1.094376,0.370852,-1.114993,-0.406092,-1.471454,-0.789186,1.0
1.653322,0.825718,0.853918,-0.752378,1.83394,-0.259499,0.0
0.946858,-1.130167,0.277527,-0.985038,-0.049049,1.3034,1.0
0.801858,0.811717,0.905113,0.454779,1.24543,-1.408752,0.0
1.864001,-1.115114,-0.139874,-0.203515,-0.416354,1.51094,1.0
0.143701,-0.517092,-1.596373,-0.815281,0.127985,1.213393,1.0
1.16475,0.669644,-0.119485,-1.611314,-0.923034,1.464887,1.0
-1.041959,-0.21657,-2.034766,0.568777,1.501328,-0.898748,0.0
-0.003813,-0.14371,0.10224,1.839569,-1.322848,0.089974,1.0
0.492549,-1.420719,0.275858,-0.021223,-0.913522,1.340137,1.0
-0.636992,1.004306,1.323476,-1.584361,0.571235,0.306617,1.0
-0.558035,-0.780202,0.065603,-0.791091,-0.785147,1.452104,1.0
0.506879,-0.782548,-0.735202,-1.46778,1.112458,-1.482587,0.0
2.585003,-0.746835,-2.517328,0.896207,-0.450028,1.422431,1.0
0.488822,-0.800843,0.103135,0.701346,1.671023,-0.975963,0.0
1.139909,1.589944,-0.944602,-0.185649,0.741685,0.142395,1.0
1.856531,0.107769,-0.264674,0.269471,0.630056,-0.223613,1.0
-1.021348,-1.373722,0.543566,-0.169704,-0.110212,1.414573,1.0
-2.269813,-0.967809,-1.731514,-0.025527,0.925533,-1.439647,0.0
0.589253,-2.194704,-0.92899,1.677404,-0.152831,-0.891357,0.0
1.21071,-0.543264,-1.17974,-0.423112,1.312826,-1.198089,0.0
0.001465,-0.558793,-1.006704,-0.713456,-0.917514,1.093107,1.0
0.882323,-1.11206,0.244994,0.179763,1.230555,-1.119871,0.0
-0.818766,-0.031499,0.671926,-0.880238,-1.604611,-0.12542,1.0
-0.937906,1.158042,2.692339,0.789906,-0.118105,1.377791,1.0
-0.058473,0.166642,-0.959593,-1.396701,0.435523,-1.640388,0.0
0.774736,0.532612,1.496888,0.67054,0.482216,-1.567879,0.0
-1.973192,-0.420435,0.391606,-1.576277,-0.223756,-0.655283,0.0
0.987567,-0.225127,0.851406,-0.6674,-0.055561,-1.072296,0.0
-1.602633,-0.712667,1.362249,1.316148,0.730077,0.014829,1.0
1.511109,-0.609219,1.19189,-1.025863,0.443379,-1.376042,0.0
-1.373886,0.619991,2.1835,-0.461848,1.396737,-1.428194,0.0
0.122184,2.215405,-1.052232,-0.150254,-0.342316,-0.726711,0.0
-0.922828,-0.157359,0.628931,-0.462739,-0.143892,1.575925,1.0
-0.742075,0.045449,0.437729,-1.866463,-1.036113,1.335997,1.0
0.098555,0.768701,0.040453,-1.38524,-0.136439,-0.83713,0.0
-1.510044,-0.98679,0.015874,-0.711058,1.698642,-0.271902,0.0
-0.116148,-0.765259,0.177575,-0.480069,-1.385606,-0.256392,1.0
-0.869702,-1.847503,-0.935773,-0.409487,0.941644,-1.462411,0.0
0.581834,-0.413373,-1.180639,0.615244,0.960412,-1.624864,0.0
1.457038,0.056902,-0.207228,1.097975,0.564489,-0.00107,1.0
0.335551,0.627578,0.466216,0.300141,0.256333,1.329722,1.0
-0.528691,0.7123,3.025915,0.934825,1.925705,0.038886,0.0
-1.040741,0.951229,0.173981,0.936671,-1.250459,1.064984,1.0
-1.188573,-1.899609,-1.712724,-0.157612,1.764661,-0.289228,0.0
-0.270903,-0.31667,-0.056408,-1.868495,1.586165,-0.95292,0.0
-1.907165,-0.784212,0.167569,0.86151,-0.803428,1.186715,1.0
1.164778,-0.362512,-0.151601,-1.339646,-0.223631,-0.723473,0.0
-0.483353,-0.52812,0.090256,0.403948,-1.265038,0.959741,1.0
-1.575478,0.80925,1.345194,-0.755376,0.309376,-1.542464,0.0
1.091204,1.832989,-0.394774,-0.146199,0.376658,1.052209,1.0
0.632019,-0.11304,0.304246,-0.082573,-1.479599,0.176651,1.0
-1.654084,1.368342,-1.286303,0.513858,-1.294691,0.453849,1.0
2.000685,1.101044,0.048096,-0.308261,-1.202581,0.529341,1.0
0.508786,0.505768,-0.417831,-0.61884,0.557046,-1.341741,0.0
-0.580501,0.220589,1.40692,-0.445341,-1.275625,0.212906,1.0
-0.101134,0.869447,0.982161,-0.315098,0.959255,-1.550955,0.0
-0.71309,-1.013881,0.993932,0.168855,-1.156251,0.948421,1.0
2.491563,0.2324,0.054143,-0.322228,-0.645645,1.287796,1.0
-1.138328,0.238968,-0.026085,-0.68254,-1.065766,0.984129,1.0
-0.709185,1.419336,-0.585106,0.826251,0.54374,0.418511,1.0
0.62124,2.005576,2.025678,-1.595627,1.838276,0.194692,0.0
-2.245193,0.514077,0.19698,0.445119,1.936217,-0.361017,0.0
0.250789,1.407167,0.715534,-1.553849,1.324553,-1.349363,0.0
-1.43844,-0.63223,-0.839222,1.032877,-1.453831,0.546831,1.0
0.938164,0.295017,-1.077161,0.191924,1.128504,-1.334703,0.0
-0.817675,1.970201,-0.079097,-0.573472,-0.142343,-1.013033,0.0
0.3472,-0.941062,-0.183595,1.148976,1.415932,-1.042513,0.0
-0.22273,-0.596189,-0.078886,0.584554,1.669151,-0.556609,0.0
0.402003,-1.14129,0.310402,0.641621,-0.435501,0.62409,0.0
0.355955,0.132217,-0.602824,-1.184093,-1.514384,0.328328,1.0
-1.376851,0.640053,1.645539,-0.520915,-0.294622,0.31653,0.0
-1.194541,-0.75062,-0.477305,-1.091388,-0.424988,1.30494,1.0
0.394293,-2.308464,-0.581825,-0.890811,0.587873,0.051071,1.0
-1.135334,0.445402,0.111034,-0.796112,-0.094404,-0.903739,0.0
-0.576488,-1.582853,-0.266743,0.774948,-0.538254,1.29187,1.0
0.495309,-1.612554,1.305783,1.782484,-1.306752,0.155613,1.0
-0.617227,-0.153522,-2.16128,-3.055659,-0.596081,1.389325,1.0
0.083828,2.142873,1.35838,1.124466,-1.561617,-0.470142,1.0
0.871696,1.346219,0.555803,-1.295078,0.70874,0.402222,1.0
-0.107314,0.082472,0.930804,-2.418755,-1.36384,-0.090927,1.0
0.252268,0.65687,-0.328973,0.444802,-1.292549,0.431861,1.0
0.972043,-0.537295,1.027601,0.557673,1.679544,-0.80645,0.0
0.056862,-0.339124,0.184942,1.322458,0.545178,0.379049,1.0
1.318737,0.569317,0.409724,-0.138426,0.350303,1.004942,1.0
1.360948,0.841378,1.1873,-0.099921,-0.213286,0.442427,0.0
0.953659,-0.875593,-1.240733,-0.471671,0.08353,-1.446151,0.0
0.82538,2.16328,0.680914,1.334923,-1.066368,1.358492,1.0
-0.282309,0.746122,-0.541751,0.230908,-1.368607,-0.429613,1.0
-0.467664,-1.362628,0.90241,-0.550466,-0.117673,-1.032855,0.0
-0.33125,-0.385244,-0.190646,-0.445004,1.597989,-0.629358,0.0
-0.034529,0.564189,-0.658071,0.141542,0.697684,-0.340586,1.0
0.304712,-0.840593,1.769387,-0.670892,0.739931,0.68136,1.0
0.113725,-0.731496,0.717044,0.377341,-1.572312,0.023647,1.0
1.843302,-1.223003,2.731645,0.634323,0.863008,-1.417744,0.0
-2.665385,-1.059662,-1.163062,1.576807,0.603722,0.360406,1.0
-0.175592,1.101515,-0.529088,0.385447,0.398014,0.749591,1.0
-0.205085,-0.018161,0.198257,1.052206,-1.543563,-0.180451,1.0
-0.534646,-0.91603,-1.07187,-0.574697,-0.313622,1.673938,1.0
-0.166055,0.528593,0.710492,0.499782,0.257525,0.937093,1.0
-0.648769,-0.037531,0.079508,-1.030813,-0.308343,1.532885,1.0
-0.407851,-1.340562,-0.472616,-0.327691,0.792582,0.054069,1.0
1.195348,1.141905,-0.875992,-0.322822,-0.263933,-0.141048,0.0
-0.396652,1.14214,2.280976,-0.685955,-1.413699,0.62857,1.0
0.066781,-0.159307,0.115135,-0.338621,1.139795,-1.280975,0.0
0.144614,0.423039,-1.553083,-1.489202,1.598979,-0.598257,0.0
-1.618598,0.331458,-0.900981,-0.599257,0.139343,-1.258393,0.0
0.473146,1.381312,-0.426308,1.626331,-0.734163,1.166357,1.0
-0.495319,-1.799601,-0.119882,0.34047,-0.582557,1.621065,1.0
0.278089,0.987717,-0.654237,1.370771,1.417492,-1.10828,0.0
0.696737,0.867399,0.492875,-1.594262,-1.218138,0.645986,1.0
-0.253144,0.448603,1.844487,1.447206,-1.321126,0.769266,1.0
-0.689168,-0.483361,-1.404515,-1.114859,0.085754,-1.069449,0.0
